epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,3059.19,0.55926,0.43231,0.92175,0.9692,0.86525,0.95883,0.8881,0.46433,0.41656,0.84329,0.000686277,0.000686277,0.000686277
107,3088.89,0.56514,0.43812,0.91773,0.96566,0.89384,0.96101,0.88762,0.4865,0.37315,0.84637,0.000679204,0.000679204,0.000679204
108,3116.91,0.56683,0.47224,0.90766,0.95401,0.90158,0.96396,0.88488,0.46987,0.36462,0.84315,0.00067213,0.00067213,0.00067213
109,3146.68,0.53999,0.39902,0.90879,0.91123,0.94605,0.96269,0.89174,0.46039,0.3624,0.84567,0.000665057,0.000665057,0.000665057
110,3178.28,0.55843,0.46099,0.91075,0.96295,0.93716,0.96594,0.88973,0.49309,0.34217,0.85481,0.000657983,0.000657983,0.000657983
111,3209.81,0.55001,0.40972,0.90609,0.96928,0.88982,0.96504,0.89931,0.45942,0.35112,0.83588,0.000650909,0.000650909,0.000650909
112,3240.35,0.53538,0.39332,0.92007,0.94928,0.92976,0.96574,0.88919,0.46844,0.33318,0.84149,0.000643836,0.000643836,0.000643836
113,3272.54,0.544,0.3985,0.91589,0.94658,0.91468,0.96104,0.89404,0.4601,0.36529,0.84326,0.000636762,0.000636762,0.000636762
114,3305.41,0.52358,0.39376,0.90508,0.96067,0.9288,0.9645,0.89257,0.45349,0.35038,0.83733,0.000629689,0.000629689,0.000629689
115,3334.99,0.51424,0.37522,0.8865,0.96909,0.91362,0.96412,0.89419,0.45524,0.35686,0.83731,0.000622615,0.000622615,0.000622615
116,3362.44,0.53234,0.38639,0.91018,0.95945,0.91627,0.96216,0.89317,0.47658,0.36561,0.84215,0.000615542,0.000615542,0.000615542
117,3390.06,0.56601,0.40851,0.90856,0.97468,0.92043,0.96335,0.89184,0.44664,0.36279,0.83346,0.000608468,0.000608468,0.000608468
118,3417.76,0.51556,0.39112,0.90378,0.9404,0.90848,0.96314,0.89495,0.45401,0.35479,0.83787,0.000601395,0.000601395,0.000601395
119,3445.18,0.51961,0.39336,0.91297,0.95432,0.9091,0.96465,0.89532,0.46875,0.3616,0.83755,0.000594321,0.000594321,0.000594321
120,3472.29,0.55784,0.39038,0.89988,0.89005,0.95755,0.96631,0.90194,0.44865,0.34172,0.83509,0.000587248,0.000587248,0.000587248
121,3499.91,0.5393,0.39013,0.91435,0.90746,0.95373,0.96583,0.90081,0.44542,0.35418,0.83232,0.000580174,0.000580174,0.000580174
122,3527.24,0.53996,0.37662,0.91472,0.93662,0.9178,0.96406,0.89266,0.46087,0.33929,0.83736,0.0005731,0.0005731,0.0005731
123,3554.97,0.52652,0.35987,0.90483,0.92389,0.92841,0.95826,0.89178,0.44656,0.37596,0.83706,0.000566027,0.000566027,0.000566027
124,3582.19,0.50418,0.36011,0.89913,0.97515,0.91877,0.96082,0.89123,0.44773,0.32821,0.836,0.000558953,0.000558953,0.000558953
125,3609.29,0.54133,0.38817,0.90933,0.95919,0.91263,0.96593,0.90624,0.44711,0.33422,0.83463,0.00055188,0.00055188,0.00055188
126,3637.02,0.51536,0.38558,0.90219,0.95689,0.88627,0.95733,0.89427,0.45483,0.35006,0.83907,0.000544806,0.000544806,0.000544806
127,3664.25,0.54097,0.38657,0.90878,0.97017,0.91186,0.963,0.89327,0.45052,0.34186,0.84279,0.000537733,0.000537733,0.000537733
128,3692.74,0.55423,0.43579,0.90484,0.92816,0.93306,0.96583,0.89155,0.47317,0.34483,0.842,0.000530659,0.000530659,0.000530659
129,3722.56,0.50356,0.36617,0.89261,0.92859,0.94833,0.96994,0.90234,0.45107,0.31309,0.84055,0.000523586,0.000523586,0.000523586
130,3753.01,0.51782,0.38108,0.90374,0.92045,0.93497,0.9649,0.89474,0.47698,0.3399,0.84442,0.000516512,0.000516512,0.000516512
131,3790.18,0.52015,0.3556,0.90989,0.96135,0.90923,0.96488,0.90095,0.45541,0.32212,0.83585,0.000509438,0.000509438,0.000509438
132,3838.17,0.49346,0.36697,0.88944,0.91783,0.94327,0.9646,0.90051,0.44992,0.33728,0.83724,0.000502365,0.000502365,0.000502365
133,3887.83,0.51643,0.39966,0.89685,0.93858,0.92206,0.96765,0.89801,0.4565,0.31903,0.83681,0.000495291,0.000495291,0.000495291
134,3933.05,0.48893,0.37396,0.90046,0.95086,0.93865,0.9672,0.89623,0.44612,0.32597,0.83745,0.000488218,0.000488218,0.000488218
135,3963.04,0.48705,0.371,0.89487,0.91718,0.94939,0.96707,0.90863,0.44468,0.31871,0.83581,0.000481144,0.000481144,0.000481144
136,3989.96,0.49556,0.36396,0.89485,0.95596,0.93945,0.97113,0.90089,0.44696,0.29753,0.83843,0.000474071,0.000474071,0.000474071
137,4016.99,0.50421,0.37784,0.89254,0.91944,0.95187,0.96974,0.90286,0.44635,0.31901,0.83613,0.000466997,0.000466997,0.000466997
138,4043.89,0.49151,0.37475,0.90354,0.9477,0.9561,0.96534,0.90829,0.42081,0.34725,0.83343,0.000459924,0.000459924,0.000459924
139,4070.82,0.51815,0.39967,0.89761,0.96415,0.92796,0.96447,0.89846,0.45563,0.31943,0.83621,0.00045285,0.00045285,0.00045285
140,4097.65,0.49461,0.37564,0.90764,0.94235,0.943,0.96532,0.90892,0.42295,0.32239,0.82328,0.000445777,0.000445777,0.000445777
141,4124.4,0.46683,0.35387,0.88555,0.94922,0.93253,0.96893,0.91028,0.42993,0.2853,0.82789,0.000438703,0.000438703,0.000438703
142,4151.6,0.50158,0.37814,0.87756,0.92913,0.95883,0.96796,0.90134,0.43976,0.29876,0.83015,0.000431629,0.000431629,0.000431629
143,4178.78,0.48309,0.34643,0.8789,0.96758,0.9384,0.96735,0.90286,0.43011,0.30466,0.82866,0.000424556,0.000424556,0.000424556
144,4206.52,0.49586,0.38777,0.8913,0.95219,0.94215,0.97089,0.9075,0.44833,0.29349,0.83063,0.000417482,0.000417482,0.000417482
145,4233.65,0.48113,0.39792,0.89142,0.94586,0.93912,0.96919,0.9012,0.44233,0.30629,0.83106,0.000410409,0.000410409,0.000410409
146,4261.88,0.46964,0.37378,0.88162,0.97236,0.93549,0.97105,0.89633,0.44844,0.30824,0.8327,0.000403335,0.000403335,0.000403335
147,4289.37,0.48083,0.32515,0.90058,0.97088,0.92309,0.96661,0.89912,0.45916,0.33354,0.83912,0.000396262,0.000396262,0.000396262
148,4317.73,0.48015,0.35359,0.88342,0.9897,0.92505,0.96789,0.90113,0.45756,0.31576,0.83441,0.000389188,0.000389188,0.000389188
149,4344.78,0.46212,0.32837,0.87054,0.97614,0.92506,0.9637,0.903,0.44001,0.3426,0.83259,0.000382115,0.000382115,0.000382115
150,4371.95,0.46226,0.33554,0.85913,0.97651,0.91473,0.96507,0.90278,0.44843,0.34499,0.83816,0.000375041,0.000375041,0.000375041
151,4399.71,0.47435,0.35042,0.87287,0.96801,0.90755,0.96466,0.89478,0.4599,0.34928,0.83422,0.000367967,0.000367967,0.000367967
152,4426.9,0.47983,0.3427,0.88749,0.94246,0.95769,0.9651,0.9019,0.44022,0.34991,0.83086,0.000360894,0.000360894,0.000360894
153,4454.38,0.48575,0.38893,0.89024,0.95003,0.93751,0.96627,0.9033,0.45411,0.34372,0.83461,0.00035382,0.00035382,0.00035382
154,4481.57,0.48135,0.34875,0.89462,0.92981,0.95647,0.96795,0.91283,0.43386,0.31805,0.83132,0.000346747,0.000346747,0.000346747
155,4509.61,0.45783,0.35181,0.86781,0.97073,0.90873,0.96623,0.90689,0.44792,0.34667,0.83415,0.000339673,0.000339673,0.000339673
156,4537.38,0.47007,0.33691,0.88059,0.92155,0.95139,0.96757,0.91147,0.42782,0.35145,0.83258,0.0003326,0.0003326,0.0003326
157,4565.35,0.45397,0.33704,0.8706,0.93872,0.96111,0.96966,0.91049,0.43784,0.32344,0.83282,0.000325526,0.000325526,0.000325526
158,4592.76,0.47031,0.31913,0.8885,0.95201,0.95112,0.96721,0.9102,0.42879,0.3314,0.82757,0.000318453,0.000318453,0.000318453
159,4619.93,0.46749,0.3342,0.88201,0.96893,0.93743,0.96807,0.90977,0.43037,0.31197,0.82722,0.000311379,0.000311379,0.000311379
160,4647.19,0.44807,0.32681,0.8791,0.94486,0.95224,0.96937,0.91558,0.41892,0.30499,0.82299,0.000304306,0.000304306,0.000304306
161,4674.07,0.47816,0.38654,0.88481,0.9594,0.94388,0.96964,0.91103,0.42865,0.31028,0.82944,0.000297232,0.000297232,0.000297232
162,4701.19,0.44937,0.33014,0.88652,0.96776,0.92237,0.96504,0.91484,0.42381,0.32126,0.82924,0.000290158,0.000290158,0.000290158
163,4729.4,0.47182,0.33148,0.89183,0.92502,0.95539,0.96677,0.91455,0.42189,0.32431,0.82493,0.000283085,0.000283085,0.000283085
164,4759.27,0.46399,0.31463,0.88024,0.94893,0.95074,0.96992,0.91716,0.41017,0.31221,0.8228,0.000276011,0.000276011,0.000276011
165,4788.47,0.47272,0.35457,0.87966,0.95095,0.93422,0.96808,0.91271,0.40979,0.32624,0.8231,0.000268938,0.000268938,0.000268938
166,4816.26,0.45398,0.35693,0.87479,0.93532,0.94903,0.96852,0.91605,0.42136,0.31517,0.82346,0.000261864,0.000261864,0.000261864
167,4844.18,0.46038,0.31847,0.87671,0.93289,0.93787,0.96751,0.92167,0.41688,0.3072,0.81867,0.000254791,0.000254791,0.000254791
168,4871.63,0.43621,0.31287,0.86817,0.93683,0.9435,0.96785,0.91236,0.41785,0.30777,0.81901,0.000247717,0.000247717,0.000247717
169,4898.73,0.42767,0.29903,0.86054,0.94972,0.93143,0.96811,0.91008,0.41626,0.30359,0.82482,0.000240644,0.000240644,0.000240644
170,4926.57,0.41373,0.33711,0.87541,0.93081,0.95198,0.96967,0.90943,0.42132,0.30107,0.82583,0.00023357,0.00023357,0.00023357
171,4954.59,0.37532,0.25782,0.8434,0.94799,0.95718,0.96971,0.90727,0.42163,0.29952,0.82069,0.000226497,0.000226497,0.000226497
